,County,Population,State,mergedkeycol,Housing Data.Residing in Group Quarters,Housing Data.Total Housing Units,Vehicle Access.1 Mile,Vehicle Access.1/2 Mile,Vehicle Access.10 Miles,Vehicle Access.20 Miles,Low Access Numbers.Children.1 Mile,Low Access Numbers.Children.1/2 Mile,Low Access Numbers.Children.10 Miles,Low Access Numbers.Children.20 Miles,Low Access Numbers.Low Income People.1 Mile,Low Access Numbers.Low Income People.1/2 Mile,Low Access Numbers.Low Income People.10 Miles,Low Access Numbers.Low Income People.20 Miles,Low Access Numbers.People.1 Mile,Low Access Numbers.People.1/2 Mile,Low Access Numbers.People.10 Miles,Low Access Numbers.People.20 Miles,Low Access Numbers.Seniors.1 Mile,Low Access Numbers.Seniors.1/2 Mile,Low Access Numbers.Seniors.10 Miles,Low Access Numbers.Seniors.20 Miles,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino,Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Retail Sales,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned
0,autaugacounty,54571,al,autaugacountyal,455,20221,834,1045,222.0,0,9973,13281,1199,0,12067,15518,2307,0,37424.0,49497,5119,0,4393,5935.0,707,0,16.0,23.2,5.9,26.6,88.5,3350.0,0.5,1.2,20.1,3.0,0.1,1.9,76.3,73.8,73.3,21397.0,23896.0,154500.0,2.56,58731,29819,2.3,594.44,4.3,87.9,665897.0,24.4,51.5,5272.0,58805,54571,91.8,93431.0,607854.0,2949,1093,1499,616.0,2160,285,2401
1,baldwincounty,182265,al,baldwincountyal,2307,73180,1653,2178,32.0,0,30633,38278,516,0,38848,48117,846,0,132442.0,165616,2308,0,21828,27241.0,390,0,21.0,21.3,5.4,31.9,90.8,20047.0,0.8,1.1,8.8,4.7,0.1,1.9,87.4,83.2,75.2,80930.0,119412.0,197900.0,2.59,58320,32626,3.7,1589.78,5.4,88.3,1438760.0,26.9,51.5,19663.0,231767,182265,114.6,560602.0,3145789.0,19732,6505,10935,2130.0,16893,2364,16183
2,barbourcounty,27457,al,barbourcountyal,3193,9820,545,742,201.0,0,3701,4943,791,0,9290,11901,2440,0,16444.5,23762,4643,0,2537,3348.0,629,0,19.7,20.6,5.3,11.6,73.2,1329.0,0.7,0.5,48.2,4.5,0.2,1.2,49.2,45.5,60.9,9345.0,12080.0,90700.0,2.41,32525,18473,2.7,884.88,7.1,85.5,735098.0,22.4,47.1,1328.0,25223,27457,31.0,26157.0,206477.0,1687,760,755,657.0,941,147,1445
3,bibbcounty,22915,al,bibbcountyal,2224,7953,312,441,0.0,0,4198,4824,90,0,6480,8349,102,0,17560.0,20989,365,0,2262,2630.0,72,0,16.7,20.3,5.6,10.4,79.1,1101.0,0.5,0.2,21.3,2.8,0.1,1.2,76.8,74.4,74.4,6891.0,9261.0,92800.0,2.99,47542,20778,1.5,622.58,2.3,89.7,117488.0,29.7,46.7,1433.0,22293,22915,36.8,10136.0,118871.0,1310,254,958,205.0,1050,288,967
4,blountcounty,57322,al,blountcountyal,489,21578,752,822,0.0,0,12575,13583,0,0,18188,19806,0,0,50848.0,54933,0,0,7114,7810.0,0,0,18.7,22.9,5.9,13.1,80.5,3710.0,0.6,0.3,1.7,9.7,0.1,1.4,95.8,86.8,78.8,20847.0,24517.0,127800.0,2.74,49358,24747,4.5,644.78,8.2,93.4,342971.0,34.4,50.8,3417.0,59134,57322,88.9,27146.0,298745.0,4550,1400,2746,368.0,4011,353,4030
5,bullockcounty,10914,al,bullockcountyal,1690,3745,334,433,80.0,0,1872,2243,560,0,3998,4676,1267,0,8709.0,10068,2586,0,1118,1305.0,488,0,16.9,20.8,5.6,12.1,74.7,498.0,0.8,0.2,70.3,8.6,0.8,1.3,26.6,21.0,71.1,3521.0,4587.0,70300.0,2.79,37785,20877,0.7,622.81,3.4,93.0,740163.0,27.2,45.5,267.0,10357,10914,17.5,44746.0,92594.0,650,365,252,389.0,229,82,538
6,butlercounty,20947,al,butlercountyal,333,8491,327,542,23.0,0,3014,4386,270,0,5961,8647,556,0,13062.0,18066,1334,0,2132,2856.0,259,0,20.8,22.0,5.7,16.1,85.0,1081.0,0.4,1.4,45.0,1.5,0.0,1.1,52.1,51.1,70.0,9917.5,10147.0,95900.0,3.0,40688,21038,0.8,776.83,1.3,93.6,811313.0,23.7,53.6,1011.0,19051,20947,27.0,32184.0,209049.0,1390,497,741,416.0,889,176,1128
7,calhouncounty,118572,al,calhouncountyal,2919,47331,1386,2334,0.0,0,16631,23624,0,0,27692,42330,0,0,73009.0,103164,0,0,10097,14513.0,0,0,18.1,21.5,5.8,18.5,84.4,6811.0,0.5,0.9,21.3,4.1,0.1,2.0,75.1,71.7,70.1,44605.0,53796.0,118000.0,2.5,47255,25345,2.7,605.87,4.3,84.0,2713200.0,25.0,52.0,9661.0,116441,118572,195.7,199072.0,1463477.0,7513,2570,4113,1041.0,6103,938,6084
8,chamberscounty,34215,al,chamberscountyal,458,13933,607,825,12.0,0,4809,6512,115,0,9202,12879,292,0,21766.0,28913,680,0,3491,4690.0,144,0,20.2,20.8,5.7,13.3,81.6,2108.0,0.3,1.1,40.2,2.6,0.0,1.3,57.0,55.1,67.5,13448.0,17009.0,97100.0,2.46,42289,22729,1.8,596.53,2.4,89.9,474018.0,23.7,52.2,2102.0,34772,34215,57.4,30302.0,281987.0,2812,1143,1504,1107.0,1635,335,2389
9,cherokeecounty,25989,al,cherokeecountyal,290,10626,361,397,1.0,0,5156,5384,19,0,9864,10341,34,0,24078.0,25204,91,0,4295,2416.0,12,0,23.5,18.9,4.6,12.8,81.6,1686.0,0.7,0.4,4.1,1.7,0.0,1.6,93.2,91.7,77.3,10737.0,16715.0,123400.0,2.39,41919,24301,0.9,553.7,1.5,90.5,367956.0,29.5,50.7,1883.0,24971,25989,46.9,17160.0,200191.0,1555,589,840,68.0,1430,125,1332
10,chiltoncounty,43643,al,chiltoncountyal,393,16558,618,750,11.0,0,9347,10441,99,0,15032,16949,196,0,36904.0,41256,473,0,4811,2416.0,81,0,17.1,23.8,6.1,12.7,81.8,2873.0,0.6,0.5,10.3,8.2,0.2,1.4,87.1,79.9,74.5,16927.0,20056.0,107300.0,2.58,47468,24658,4.6,692.85,7.5,89.9,287155.0,32.1,50.9,2543.0,45014,43643,63.0,35354.0,442751.0,3130,930,1961,296.0,2750,231,2817
11,choctawcounty,13859,al,choctawcountyal,129,5866,474,536,213.0,0,2807,3036,742,0,5877,6319,1808,0,12326.0,13381,3373,0,2154,2418.0,541,0,23.6,19.7,5.3,11.9,81.4,745.0,0.2,0.2,41.7,1.0,0.1,0.7,57.1,56.3,80.9,5300.0,7413.0,74100.0,2.4,35892,22308,0.6,913.5,1.6,89.9,740163.0,34.5,52.8,889.0,12665,13859,15.2,7598.0,99968.0,1233,323,754,321.0,870,291,869
12,clarkecounty,25833,al,clarkecountyal,280,10337,892,1022,167.0,0,5084,5962,896,0,9407,10928,1901,0,20451.0,24001,3717,0,3167,3840.0,629,0,20.5,21.3,5.8,12.2,80.6,1446.0,0.6,0.4,45.0,1.3,0.0,1.0,53.0,52.1,70.1,9090.0,12857.0,112500.0,2.61,37404,22225,0.2,1238.47,0.9,93.0,681292.0,26.6,52.8,1174.0,23087,25833,20.9,27967.0,341028.0,2417,894,1238,694.0,1609,171,2018
13,claycounty,13932,al,claycountyal,255,5670,134,187,5.0,0,2378,2820,217,0,4463,5403,414,0,10577.0,12372,978,0,1734,2053.0,173,0,21.0,20.2,5.3,10.6,76.7,829.0,0.6,0.3,13.8,3.3,0.1,2.1,83.2,80.3,75.5,5198.0,6833.0,107800.0,2.52,40845,23519,2.0,603.96,3.2,91.5,740163.0,29.1,51.3,632.0,14236,13932,23.1,4764.0,67683.0,873,261,580,119.0,726,163,690
14,cleburnecounty,14972,al,cleburnecountyal,178,5891,195,215,11.0,0,3005,3281,213,0,4955,5596,303,0,12459.0,13644,891,0,1889,2106.0,128,0,20.2,22.5,6.0,15.4,79.0,997.0,0.5,0.2,2.8,2.6,0.1,1.3,95.1,92.8,76.1,5680.0,6891.0,116500.0,2.6,44741,23142,1.6,560.1,2.9,86.7,269201.0,34.0,50.8,697.0,15056,14972,26.7,44746.0,63984.0,1185,317,784,64.0,1107,91,1073
15,coffeecounty,49948,al,coffeecountyal,600,19849,506,959,31.0,0,8064,10540,595,0,10072,14049,814,0,33573.0,43582,2437,0,4561,6145.0,408,0,17.3,23.7,6.1,22.8,85.9,2764.0,1.4,1.7,17.6,8.0,0.4,3.1,75.8,69.4,65.7,19924.0,23403.0,147400.0,2.56,55637,27806,4.0,678.97,6.4,82.2,1089871.0,22.7,50.8,6285.0,53465,49948,73.6,61277.0,610054.0,3690,1482,1847,716.0,2846,611,2867
16,colbertcounty,54428,al,colbertcountyal,474,22773,800,1245,12.0,0,8095,10609,211,0,11995,17109,308,0,36250.0,47830,1013,0,6059,8232.0,177,0,20.0,20.9,5.7,18.1,85.2,3599.0,0.7,0.7,16.2,3.2,0.1,1.9,80.4,77.7,72.2,21880.0,26861.0,120800.0,2.48,48065,25536,1.9,592.62,2.7,90.6,2546996.0,23.4,52.2,3843.0,57227,54428,91.8,72753.0,1011336.0,5090,1872,2809,678.0,4244,472,4403
17,conecuhcounty,13228,al,conecuhcountyal,45,5625,256,342,96.0,0,2123,2761,678,0,5621,7073,1759,0,10139.0,12276,3487,0,1938,2416.0,742,0,23.5,20.5,5.3,12.8,84.3,734.0,0.6,0.2,46.1,2.3,0.0,1.4,51.8,50.4,76.1,4553.0,7223.0,81000.0,2.71,37837,19769,0.9,850.16,0.4,96.7,79712.0,27.9,52.3,575.0,11597,13228,15.6,6234.0,136398.0,833,303,438,236.0,567,81,722
18,coosacounty,11539,al,coosacountyal,124,4794,168,199,27.0,0,2114,2240,462,0,4118,4459,890,0,16444.5,10975,2607,0,1730,1868.0,524,0,24.1,16.4,4.3,12.8,80.0,426.0,0.6,0.2,30.9,2.6,0.2,1.4,66.8,65.1,79.2,4032.0,6635.0,84000.0,2.57,38990,23694,0.5,650.93,0.7,89.1,740163.0,28.8,50.0,931.0,10387,11539,17.7,44746.0,37904.0,460,159,276,86.0,363,25,427
19,covingtoncounty,37765,al,covingtoncountyal,575,15531,452,674,7.0,0,5931,7604,593,0,9949,13548,1012,0,26573.0,33650,2939,0,4737,6124.0,577,0,21.4,22.0,5.9,15.3,83.4,2312.0,0.8,0.5,12.5,1.9,0.0,1.7,84.5,83.1,74.5,14852.0,19068.0,97600.0,2.46,42189,23687,0.8,1030.46,1.7,89.1,671895.0,25.0,51.6,2898.0,37570,37765,36.6,33061.0,452011.0,2657,891,1468,375.0,2177,181,2287
20,crenshawcounty,13906,al,crenshawcountyal,132,5652,284,332,89.0,0,2558,2955,1010,0,4861,5466,1878,0,10815.0,12401,4101,0,1576,1867.0,578,0,19.4,22.8,5.7,17.4,79.2,874.0,0.7,1.1,23.9,2.4,0.0,2.1,72.2,70.3,75.5,4943.0,6862.0,81000.0,2.77,43163,24563,1.4,608.84,2.0,93.5,740163.0,29.9,51.5,709.0,13194,13906,22.8,44746.0,72731.0,923,309,529,191.0,708,142,755
21,cullmancounty,80406,al,cullmancountyal,1056,31864,887,1195,14.0,0,15221,17686,249,0,25742,30687,459,0,64665.0,75716,1075,0,9730,11823.0,154,0,18.8,22.5,6.2,13.9,81.6,5989.0,0.6,0.7,1.4,4.5,0.1,1.4,95.7,91.7,74.8,31034.0,38252.0,128600.0,2.63,44918,23468,2.6,734.84,4.0,89.6,1880798.0,26.5,50.6,5150.0,87866,80406,109.4,111212.0,896368.0,6433,1546,4016,219.0,6014,798,5349
22,dalecounty,50251,al,dalecountyal,917,20065,628,996,5.0,0,10088,11638,184,0,15851,19284,278,0,40563.0,47032,676,0,5320,6311.0,106,0,17.3,22.8,6.7,18.1,86.1,2650.0,0.9,1.5,21.0,7.0,0.2,2.8,73.8,68.0,60.1,18806.0,23201.0,112000.0,2.55,47214,24645,3.5,561.15,6.2,81.7,110162.0,21.6,50.8,5793.0,49326,50251,89.6,54607.0,323453.0,2712,1102,1315,594.0,1997,363,2128
23,dallascounty,43820,al,dallascountyal,786,17064,836,1845,230.0,3,6008,9525,979,23,11877,20376,2665,69,23922.0,36298,4232,93,3441,5146.0,781,12,18.9,23.3,5.9,14.7,81.8,2126.0,0.3,0.4,70.7,1.2,0.0,0.9,27.6,27.0,59.3,15910.0,20460.0,83300.0,2.42,33845,19612,1.3,978.7,1.4,88.8,1309877.0,23.8,53.8,1807.0,38462,43820,44.8,36082.0,413111.0,2726,1066,1378,1409.0,1134,305,2206
24,dekalbcounty,71109,al,dekalbcountyal,782,26842,1061,1292,0.0,0,14612,17105,0,0,26938,32208,0,0,57693.0,66513,0,0,7752,2416.0,0,0,17.6,23.9,6.0,13.0,74.8,4910.0,2.0,0.5,1.9,15.1,0.6,2.3,92.7,79.8,71.5,26040.0,31593.0,106100.0,2.7,40440,21907,7.3,777.09,12.9,87.3,1551930.0,24.0,50.3,3382.0,71608,71109,91.5,79025.0,579717.0,5850,1928,3454,311.0,5291,567,5049
25,elmorecounty,79303,al,elmorecountyal,5483,28301,1050,1213,7.0,0,15103,17580,7,0,17735,20891,5,0,65450.0,74501,23,0,7846,8750.0,3,0,15.6,22.3,5.8,25.1,86.6,5400.0,0.5,0.8,21.2,3.2,0.1,1.8,75.7,73.1,73.3,29708.0,34475.0,166600.0,2.58,60891,29052,2.1,618.49,3.5,85.4,800172.0,26.8,51.7,6594.0,87977,79303,128.2,66937.0,711587.0,5249,1723,2975,882.0,4185,889,4060
26,escambiacounty,38319,al,escambiacountyal,3199,14157,354,524,32.0,0,5691,7680,481,0,13259,17487,1048,0,26460.0,34573,2126,0,3763,5205.0,319,0,18.3,22.5,6.0,12.5,81.1,2096.0,3.9,0.3,31.3,2.6,0.1,2.2,62.3,60.3,68.3,13089.0,16645.0,99400.0,2.61,36275,19028,0.7,945.08,1.4,94.2,758931.0,22.2,49.7,2118.0,36757,38319,40.5,37213.0,374890.0,2822,951,1646,648.0,2053,501,2196
27,etowahcounty,104430,al,etowahcountyal,2085,42036,1201,1865,7.0,0,16901,21114,0,0,26018,34331,0,0,74258.0,91811,0,0,11979,14549.0,0,0,19.4,21.3,5.8,17.8,84.6,7520.0,0.6,0.8,15.7,4.1,0.3,1.9,80.7,77.5,72.6,38942.0,47855.0,113700.0,2.6,44637,24883,2.8,534.99,4.1,86.4,1355790.0,24.0,51.6,6797.0,103436,104430,195.2,152960.0,1236494.0,8616,2902,4938,1137.0,7168,1030,7161
28,fayettecounty,17241,al,fayettecountyal,291,7100,292,374,3.0,0,2694,3329,38,0,5609,6710,74,0,12385.0,15102,163,0,2194,2416.0,23,0,21.7,21.1,5.5,12.4,82.6,1028.0,0.5,0.5,11.7,2.1,0.0,1.6,85.8,84.1,77.3,6802.0,8540.0,88500.0,2.38,39856,22483,0.9,627.66,1.3,86.8,143288.0,29.8,51.3,1087.0,16321,17241,27.5,44746.0,131208.0,1139,436,548,123.0,963,61,1001
29,franklincounty,31704,al,franklincountyal,272,12286,319,458,11.0,0,5064,6413,180,0,9475,12081,354,0,21191.0,26405,893,0,3167,2416.0,139,0,17.1,24.8,6.8,14.0,77.2,1914.0,1.7,0.4,4.4,17.9,0.2,1.7,91.7,76.2,70.8,11048.0,14126.0,95000.0,2.83,43514,21641,9.0,633.82,16.1,92.1,981206.0,28.8,49.7,1330.0,32113,31704,50.0,23792.0,277749.0,2338,538,1537,152.0,2125,347,1844
30,genevacounty,26790,al,genevacountyal,229,10920,362,437,0.0,0,4425,5039,2,0,8506,9824,4,0,19662.0,22435,8,0,3168,3707.0,0,0,20.6,22.0,5.4,12.5,80.3,1633.0,1.1,0.4,9.3,4.2,0.1,2.0,87.1,83.6,72.0,10383.0,12955.0,100900.0,2.52,41732,21711,1.5,574.41,3.7,88.1,740163.0,27.8,51.2,2382.0,26659,26790,46.6,44746.0,160796.0,1429,375,898,109.0,1268,287,1058
31,greenecounty,9045,al,greenecountyal,45,3764,382,439,147.0,0,1769,1974,730,0,4762,5215,2058,0,7194.0,8041,2971,0,1098,1265.0,464,0,23.3,21.8,5.7,10.1,79.2,441.0,0.4,0.3,79.9,1.7,0.1,0.9,18.5,17.5,67.1,2951.0,5177.0,80400.0,2.8,24145,14884,0.3,647.11,0.3,98.0,102204.0,35.2,52.8,457.0,7730,9045,14.0,44746.0,40292.0,637,360,234,455.0,152,60,535
32,halecounty,15760,al,halecountyal,334,6273,477,563,93.0,0,3205,3458,573,0,6344,6970,1099,0,13004.0,13940,2389,0,1852,2416.0,380,0,19.7,23.0,6.8,14.2,84.0,896.0,0.3,0.3,58.0,1.4,0.0,0.7,40.7,39.7,75.8,5650.0,7880.0,89300.0,2.59,34046,21191,0.2,643.94,1.1,93.4,740163.0,31.6,52.6,809.0,14785,15760,24.5,44746.0,76502.0,1067,385,633,468.0,576,141,890
33,henrycounty,17302,al,henrycountyal,199,6994,292,342,3.0,0,2969,3606,59,0,5547,6563,114,0,13405.0,15992,240,0,2318,2828.0,34,0,23.4,20.4,5.2,17.1,79.4,1090.0,0.5,0.4,25.9,2.7,0.0,1.6,71.6,69.5,83.3,6630.0,9255.0,118800.0,2.53,50017,25276,0.9,561.75,2.1,92.8,740163.0,28.0,51.7,1247.0,17146,17302,30.8,44746.0,100338.0,1031,280,509,166.0,817,62,830
34,houstoncounty,101547,al,houstoncountyal,1416,40969,873,1767,18.0,0,12744,19984,181,0,19193,31400,324,0,52641.0,81158,707,0,7349,11541.0,97,0,18.1,22.9,6.3,21.7,86.0,7419.0,0.5,1.1,27.4,3.4,0.1,2.1,68.8,66.1,65.7,39311.0,48134.0,137600.0,2.64,47580,27097,2.4,579.82,3.8,88.5,1390781.0,21.2,52.2,7889.0,107202,101547,175.1,212977.0,2164855.0,8810,3266,4444,1960.0,6409,1086,7178
35,jacksoncounty,53227,al,jacksoncountyal,597,21513,735,903,31.0,0,9659,11317,678,0,19690,23045,1403,0,43181.0,50425,3045,0,6909,8250.0,492,0,20.5,20.7,5.4,14.0,83.2,3215.0,1.7,0.6,3.5,3.1,0.1,2.8,91.4,89.0,75.5,20695.0,25194.0,104900.0,2.47,41769,22596,1.4,1077.87,1.5,94.3,1540386.0,26.4,50.9,2772.0,52579,53227,49.4,48995.0,454888.0,3637,1004,2202,283.0,3239,404,3016
36,jeffersoncounty,658466,al,jeffersoncountyal,15774,263568,8404,16010,49.0,0,74064,127030,624,0,105330,189254,1190,0,306891.0,531938,4441,0,40955,70300.0,450,0,16.3,22.8,6.4,33.4,90.1,50156.0,0.3,1.8,43.5,4.1,0.1,1.3,53.1,49.5,62.7,261231.0,309697.0,159100.0,2.47,53901,32098,4.1,1111.28,5.8,84.1,10951810.0,24.3,52.7,36789.0,674721,658466,592.5,1461142.0,10154005.0,57590,21298,30937,19911.0,35268,6086,48182
37,lamarcounty,14564,al,lamarcountyal,217,6103,296,382,1.0,0,2374,2747,18,0,5035,5747,60,0,11127.0,12748,89,0,2142,2416.0,12,0,22.2,21.4,5.7,11.9,82.3,896.0,0.3,0.1,10.3,1.9,0.0,1.7,87.5,86.0,75.6,5856.0,7431.0,80900.0,2.34,38364,22636,0.8,604.85,1.0,89.8,334162.0,27.8,51.0,757.0,13972,14564,24.1,44746.0,80934.0,1115,501,471,135.0,926,88,971
38,lauderdalecounty,92709,al,lauderdalecountyal,1891,38680,841,2133,20.0,0,12754,17389,170,0,18655,29702,401,0,57045.0,80684,828,0,9070,13308.0,135,0,20.5,19.5,5.1,23.5,87.4,6645.0,0.4,0.8,10.0,2.9,0.1,1.7,87.0,84.6,68.1,38471.0,45611.0,145000.0,2.35,48094,28033,2.0,667.7,3.5,82.8,778187.0,24.3,52.0,6002.0,93564,92709,138.8,159073.0,1190789.0,8552,2504,4797,699.0,7362,846,6928
39,lawrencecounty,34339,al,lawrencecountyal,229,13654,586,709,56.0,0,7158,7735,548,0,11018,12150,981,0,30683.0,33171,2214,0,4260,4715.0,329,0,19.1,21.5,5.6,12.6,79.3,1980.0,5.8,0.2,10.9,2.4,0.0,4.9,78.2,76.3,77.7,12677.0,15363.0,110500.0,2.59,44886,23450,0.9,690.68,1.8,91.1,740163.0,29.5,51.3,1533.0,33073,34339,49.7,44746.0,218020.0,2226,895,1080,407.0,1754,239,1913
40,leecounty,140247,al,leecountyal,4410,55682,953,2038,13.0,0,19831,28120,209,0,25354,46162,316,0,77360.0,119052,797,0,7655,2416.0,87,0,12.4,21.1,5.8,35.3,90.9,10729.0,0.4,4.2,22.9,3.7,0.1,1.7,70.7,67.7,61.6,60237.0,71225.0,169300.0,2.58,51463,27860,5.6,607.54,7.3,80.3,2386054.0,23.1,50.9,9950.0,174241,140247,230.8,271574.0,1632058.0,11573,3675,6800,2824.0,8270,1020,9885
41,limestonecounty,82782,al,limestonecountyal,2907,31446,901,1114,3.0,0,16365,18755,80,0,21879,25162,57,0,67917.0,78037,309,0,8130,2416.0,40,0,15.2,22.3,5.5,25.7,84.7,6237.0,0.8,1.7,13.9,6.2,0.2,2.4,81.0,75.8,77.6,32143.0,36526.0,158800.0,2.86,59686,28411,3.7,559.94,6.7,86.5,841436.0,27.0,50.0,7168.0,103570,82782,147.8,81402.0,777105.0,5969,2245,3073,852.0,4938,759,5016
42,lowndescounty,11299,al,lowndescountyal,96,4352,533,563,232.0,0,2613,2699,1171,0,5749,5977,2284,0,10656.0,11018,4411,0,1526,1581.0,581,0,19.8,22.0,6.0,14.7,78.3,623.0,0.3,0.5,72.4,1.9,0.0,0.7,26.0,25.1,74.3,4251.0,5274.0,70000.0,2.35,30036,20209,0.8,715.91,0.4,88.7,2374969.0,31.5,53.0,300.0,10311,11299,15.8,1692.0,100834.0,884,433,406,585.0,282,49,810
43,maconcounty,21452,al,maconcountyal,1772,8499,805,994,116.0,0,3778,4201,521,0,8761,10292,1138,0,17711.0,20428,2201,0,2558,2842.0,313,0,20.9,17.1,4.8,20.4,81.8,995.0,0.3,0.6,80.4,1.9,0.0,1.4,17.3,16.5,65.5,7474.0,10321.0,80800.0,2.2,33370,20419,0.6,608.89,2.5,90.5,740163.0,24.0,54.5,1345.0,19532,21452,35.2,29031.0,93239.0,1399,704,638,1089.0,268,159,1188
44,madisoncounty,334811,al,madisoncountyal,8042,134700,2622,5187,3.0,0,40683,66801,81,0,44342,79103,100,0,165732.0,277105,346,0,18666,32931.0,51,0,15.3,21.6,5.9,42.8,91.7,25693.0,0.8,2.7,24.9,5.2,0.1,2.7,68.9,64.5,66.8,148189.0,166516.0,186100.0,2.38,65449,36620,5.5,801.59,6.9,83.2,7992217.0,21.5,51.1,32813.0,388153,334811,417.7,728712.0,4958015.0,28357,10709,14385,6614.0,20536,3129,23728
45,marengocounty,21027,al,marengocountyal,254,8535,378,597,93.0,0,3047,4095,1000,0,6252,8278,2065,0,12839.0,17291,3950,0,2113,2929.0,643,0,19.9,22.5,6.2,16.1,83.8,1087.0,0.3,0.3,51.6,2.8,0.2,1.0,46.6,44.4,71.5,7361.0,10397.0,84400.0,2.59,33241,25635,0.4,976.88,0.6,92.1,557015.0,24.4,53.1,946.0,19323,21027,21.5,20262.0,199742.0,1414,447,758,520.0,771,169,1078
46,marioncounty,30776,al,marioncountyal,868,12651,355,504,7.0,0,5185,6096,194,0,10818,12827,316,0,23186.0,27622,932,0,3874,4923.0,187,0,21.5,20.8,5.3,12.8,79.6,1806.0,0.4,0.3,3.9,2.7,0.1,1.3,94.0,91.7,75.1,11997.0,14806.0,92800.0,2.45,35930,21311,1.2,742.29,3.1,91.8,686580.0,24.4,50.8,1385.0,29341,30776,41.5,25432.0,229040.0,2283,742,1356,105.0,2114,319,1891
47,marshallcounty,93019,al,marshallcountyal,1047,35810,826,1343,0.0,0,14958,19899,0,0,25394,34223,0,0,60924.0,80017,0,0,8708,11822.0,0,0,17.3,25.1,7.2,19.4,81.6,7199.0,1.1,0.7,3.2,14.7,0.3,1.9,92.8,79.8,70.2,34883.0,40791.0,128800.0,2.71,45983,24453,7.4,565.84,12.4,88.2,3234542.0,24.6,50.7,5904.0,97612,93019,164.4,124384.0,1280023.0,7864,2642,4309,585.0,6984,850,6561
48,mobilecounty,412992,al,mobilecountyal,6808,158435,3393,7470,2.0,0,49762,81039,126,0,73370,126600,127,0,193433.0,320208,847,0,23794,40790.0,179,0,16.6,23.3,6.6,23.2,86.5,30478.0,0.9,2.1,36.2,3.0,0.0,1.7,59.0,56.5,64.5,156251.0,185035.0,130200.0,2.6,47583,25861,3.1,1229.44,4.6,87.8,10562670.0,25.0,52.5,28181.0,414809,412992,335.9,617881.0,5102565.0,35912,15511,17396,13509.0,21087,3705,30590
49,monroecounty,23068,al,monroecountyal,230,9214,789,926,272.0,0,4713,5459,1014,0,9731,11217,2613,2,18266.0,21231,4295,3,2697,3208.0,739,1,21.1,21.1,5.1,13.5,85.6,1343.0,1.3,0.5,41.0,1.7,0.0,1.8,55.4,54.1,63.6,8166.0,11471.0,102200.0,2.57,30441,20527,0.5,1025.68,0.4,93.0,423017.0,24.8,52.4,1336.0,19772,23068,22.5,15342.0,210968.0,1317,462,659,482.0,764,79,1159
50,montgomerycounty,229363,al,montgomerycountyal,9082,89981,2628,6155,86.0,0,20720,44225,945,0,30406,73999,2043,0,83407.0,179428,5160,0,9058,20850.0,916,0,15.6,23.4,6.8,33.4,86.7,15765.0,0.3,3.3,59.3,3.7,0.1,1.5,35.5,32.7,58.4,89527.0,105317.0,129800.0,2.46,50124,29071,4.7,784.25,6.2,79.2,10786565.0,20.7,53.0,16668.0,228954,229363,292.5,474521.0,3258650.0,19932,8035,9999,9282.0,9682,2535,15997
51,morgancounty,119490,al,morgancountyal,2133,47030,1137,2046,6.0,0,17298,25318,85,0,24140,37984,69,0,71887.0,103759,336,0,9850,14259.0,44,0,17.8,22.8,6.1,22.4,84.1,7704.0,1.1,0.7,13.1,8.7,0.1,2.2,82.8,75.1,72.7,45918.0,52398.0,137000.0,2.55,52156,27367,4.6,579.34,8.1,88.5,740163.0,23.1,50.8,7465.0,123421,119490,206.3,44746.0,1673464.0,9630,3330,5195,1518.0,7646,772,8183
52,perrycounty,10591,al,perrycountyal,721,3947,505,577,279.0,0,2232,2518,1151,0,6014,7131,2950,0,8815.0,10453,4187,0,1504,1736.0,619,0,20.1,20.9,5.7,22.8,82.8,481.0,0.3,0.6,67.9,1.6,0.1,0.8,30.2,29.1,71.9,3070.0,4750.0,65000.0,2.76,23447,15055,2.1,719.66,1.3,92.6,165951.0,25.7,53.5,405.0,8511,10591,14.7,44746.0,34746.0,578,196,333,342.0,221,70,470
