,County,Population,State,mergedkeycol,Housing Data.Residing in Group Quarters,Housing Data.Total Housing Units,Vehicle Access.1 Mile,Vehicle Access.1/2 Mile,Vehicle Access.10 Miles,Vehicle Access.20 Miles,Low Access Numbers.Children.1 Mile,Low Access Numbers.Children.1/2 Mile,Low Access Numbers.Children.10 Miles,Low Access Numbers.Children.20 Miles,Low Access Numbers.Low Income People.1 Mile,Low Access Numbers.Low Income People.1/2 Mile,Low Access Numbers.Low Income People.10 Miles,Low Access Numbers.Low Income People.20 Miles,Low Access Numbers.People.1 Mile,Low Access Numbers.People.1/2 Mile,Low Access Numbers.People.10 Miles,Low Access Numbers.People.20 Miles,Low Access Numbers.Seniors.1 Mile,Low Access Numbers.Seniors.1/2 Mile,Low Access Numbers.Seniors.10 Miles,Low Access Numbers.Seniors.20 Miles,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino,Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Retail Sales,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned
3067,iowacounty,23687,wi,iowacountywi,214,9547,208,281,9.0,0,4176,4904,361,0,3866,4539,258,0,16919.0,19945,1551,0,2262,2751.0,196,0,19.5,22.3,5.4,24.6,95.2,1976.0,0.3,0.8,0.8,2.0,0.1,1.3,96.8,95.1,73.8,9850.0,10997.0,183200.0,2.38,64124,34114,1.7,762.58,3.0,89.2,1335121.0,26.2,49.7,1421.0,23709,23687,31.1,23325.0,1426081.0,2343,472,1495,40.0,2249,281,1975
3068,ironcounty,5916,wi,ironcountywi,96,2822,72,99,6.0,0,706,803,89,0,1400,1661,180,0,4096.0,4697,597,0,973,1133.0,153,0,32.1,15.1,3.1,20.0,94.5,507.0,1.6,0.4,0.3,1.4,0.1,1.8,96.0,95.0,77.5,2898.0,6131.0,119000.0,1.92,43798,28857,1.2,758.17,2.8,85.8,740163.0,22.0,49.6,581.0,6137,5916,7.8,44746.0,54263.0,678,181,448,0.0,649,153,508
3069,jacksoncounty,20449,wi,jacksoncountywi,1333,7843,293,482,120.0,0,3699,4432,1348,3,5521,6774,1822,8,16378.0,19573,5563,19,2548,3131.0,874,3,19.3,21.8,5.8,14.6,89.9,1152.0,6.8,0.5,2.2,3.7,0.1,1.9,88.5,85.9,73.9,8199.0,9998.0,135900.0,2.36,53650,26481,2.2,987.72,6.9,87.7,499458.0,22.5,46.5,1553.0,21145,20449,20.7,27914.0,327506.0,1389,446,504,44.0,1297,97,1155
3070,jeffersoncounty,83686,wi,jeffersoncountywi,3678,32117,343,808,0.0,0,9227,15030,0,0,8211,15118,0,0,40689.0,63685,0,0,5460,8462.0,0,0,17.7,20.8,5.1,25.4,91.8,5130.0,0.5,1.0,1.2,7.3,0.0,1.4,96.0,89.3,70.2,32965.0,36162.0,190400.0,2.46,66291,31992,3.4,556.47,6.2,86.5,3842916.0,24.6,50.0,4980.0,84900,83686,150.4,88256.0,910983.0,6180,1936,3429,345.0,5605,531,5329
3071,juneaucounty,26664,wi,juneaucountywi,1651,10527,292,335,84.0,0,4765,5494,1273,0,7626,8804,1904,0,22836.0,25784,5394,0,3989,4431.0,1001,0,20.8,20.0,5.3,13.7,88.4,1469.0,1.6,0.6,2.5,3.2,0.1,1.3,93.9,91.4,76.2,10752.0,15361.0,125800.0,2.28,53490,27889,2.2,766.93,3.4,87.8,719240.0,23.1,46.7,2160.0,26718,26664,34.8,26810.0,335525.0,1833,608,950,0.0,1736,169,1554
3072,kenoshacounty,166426,wi,kenoshacountywi,4601,62650,1590,3024,0.0,0,19573,33702,0,0,21405,39566,0,0,78215.0,131210,0,0,8219,14120.0,0,0,14.6,22.4,5.6,26.1,90.1,8798.0,0.8,1.8,7.4,13.5,0.1,2.8,87.2,75.4,66.1,64111.0,70872.0,177400.0,2.56,63733,32298,6.3,271.99,12.0,84.9,2370320.0,26.3,50.5,9617.0,169151,166426,611.9,237841.0,2134143.0,10543,3594,5527,1307.0,8753,777,9065
3073,kewauneecounty,20574,wi,kewauneecountywi,178,8239,147,274,0.0,0,3215,4117,0,0,2787,3948,0,0,13230.0,17386,0,0,1893,2814.0,0,0,20.9,21.5,5.2,19.4,93.1,1309.0,0.5,0.5,0.6,3.4,0.0,1.1,97.3,94.1,79.3,8341.0,9490.0,164900.0,2.42,66192,30921,2.2,342.52,2.9,91.7,466684.0,23.7,49.2,1188.0,20563,20574,60.1,15426.0,146276.0,1752,489,1009,55.0,1645,152,1510
3074,lacrossecounty,114638,wi,lacrossecountywi,5195,46137,525,1532,2.0,0,11495,19506,140,0,9544,23143,121,0,45826.0,85717,539,0,6117,11157.0,54,0,16.9,19.6,5.0,34.9,95.0,6625.0,0.5,4.7,1.6,2.1,0.0,1.9,91.3,89.5,63.0,47518.0,51026.0,173300.0,2.37,57882,32565,3.1,451.69,6.5,81.6,1941684.0,18.3,51.2,7585.0,120784,114638,253.8,243695.0,1891085.0,8313,2342,4717,441.0,7411,864,6820
3075,lafayettecounty,16836,wi,lafayettecountywi,120,6609,290,323,47.0,0,3661,4042,628,0,4032,4649,677,0,13940.0,15509,2579,0,2095,2360.0,424,0,19.4,23.9,6.2,18.8,90.8,1333.0,0.6,0.5,0.5,4.3,0.0,0.9,97.5,93.7,76.4,6722.0,7339.0,140000.0,2.47,60691,28448,2.5,633.59,7.7,90.6,270160.0,25.4,49.4,971.0,16611,16836,26.6,44746.0,119538.0,1345,359,857,0.0,1279,270,1014
3076,langladecounty,19977,wi,langladecountywi,281,8587,155,391,64.0,0,2411,3587,783,0,3446,5702,1502,0,12371.0,17411,4845,0,2647,3556.0,1257,0,24.7,19.5,4.9,16.7,90.3,1213.0,1.4,0.5,1.2,2.1,0.0,1.7,95.2,93.6,77.1,8612.0,12632.0,113900.0,2.2,49491,27618,2.0,870.64,2.9,88.7,330235.0,20.2,49.6,1561.0,19491,19977,22.9,26071.0,428696.0,1977,386,1240,45.0,1830,250,1556
3077,lincolncounty,28743,wi,lincolncountywi,560,12094,186,479,15.0,0,3807,5312,523,0,4210,6077,596,0,16444.5,24738,2056,0,3138,4484.0,333,0,22.2,18.2,4.7,18.4,92.0,1667.0,0.6,0.6,0.9,1.7,0.0,1.3,96.6,95.2,78.1,9917.5,17335.0,139700.0,2.14,58541,30972,0.9,878.97,2.6,87.2,772368.0,22.6,49.3,2051.0,28415,28743,32.7,27601.0,308735.0,2211,548,1326,0.0,2131,167,1838
