Percentage of Low Income People,Education.Bachelor's Degree or Higher,Income.Median Houseold Income
0.495925091,8.9,38149
0.441077297,13.6,45564
0.137953887,42.4,99128
0.480811144,10.9,48801
0.555076525,16.2,30284
0.305243304,13.2,54375
0.536434109,14.4,33640
0.491231296,13,34856
0.449309809,15.9,37469
0.437907899,16.5,39998
0.396143734,16.3,41902
0.441193834,11.4,35720
0.50093908,25.1,38230
0.494422264,14.7,38390
0.260324502,28.4,70817
0.286716149,24.9,67056
0.326486411,14.2,48623
0.194952494,20.3,80166
0.46057483,19.6,44522
0.449890399,13.2,44005
0.284911597,16.6,50536
0.380963885,14.1,53056
0.44967732,11.1,46673
0.35692708,32.2,52270
0.335452408,18.8,53743
0.531573705,12.3,34914
0.441180834,10,42119
0.495892169,20.4,39005
0.579579994,8.7,24623
0.255894345,33.8,63820
0.384251498,13.3,43396
0.39093409,11.3,46446
0.239164061,26.4,80527
0.407852928,9.6,43759
0.487108842,12.3,38565
0.358970421,17.8,53209
0.52224443,12.8,30272
0.361088473,25.2,54268
0.454384267,23.5,41797
0.381040189,22.3,51148
0.459355828,13.8,37691
0.312719499,12.7,53423
0.400375732,13.8,40129
0.551534434,12.8,26776
0.511415525,14.1,32500
0.411312058,14.8,46006
0.362951172,34.9,54948
0.665631178,8.9,22346
0.419241716,12.7,51803
0.559905535,11.6,31965
0.491911486,12,35282
0.418806629,8.5,42505
0.429407437,13.6,46861
0.36068008,13.9,50161
0.459981168,14,39139
0.429113305,16.9,42105
0.3369461,26.8,54032
0.436030534,13.6,42104
0.364156698,33,56999
0.349247497,16.9,55506
0.475854401,35.6,35467
0.304090685,19.7,63389
0.570234869,12.8,30350
0.491447609,13,32929
0.543778058,19,28567
0.453258595,37.6,41604
0.456712827,24.2,41121
0.355036554,19.1,57204
0.391103997,14.9,41480
0.42255978,20.9,47269
0.491270388,13.9,33816
0.47370569,13.2,34029
0.419597767,13.3,40336
0.441944683,11.6,44661
0.260470784,25.3,69019
0.473255814,16.7,43886
0.401465157,16.3,51603
0.372638681,15.9,57429
0.508272239,14.8,36403
0.400896944,14.5,48656
0.44915709,10.2,40485
0.262054731,33.8,68905
0.428916282,20,47832
0.661616162,11.4,27500
0.413445552,15.6,48747
0.371837597,17.2,44100
0.368457001,14.2,51945
0.406540683,17.5,49141
0.483968466,11.6,37570
0.570969119,15.4,28951
0.315127083,22,65385
0.481277981,11.7,38500
0.344236222,24.2,59637
0.438714337,13.9,38353
0.276082719,22.8,53509
0.403303933,19.2,41123
0.195620674,47.6,73072
0.356811325,24.8,51422
0.306310446,34.1,57178
0.296130967,28.1,55365
0.258536739,33.5,57751
0.301106436,33.5,57720
0.382356289,19.2,49204
0.345760143,27.7,50808
0.428063007,18.4,40890
0.239924745,36.4,63694
0.425261373,16.5,44256
0.346365776,31.4,51931
0.421032235,22,41347
0.203511606,32.5,67830
0.356389461,18.9,45893
0.135729117,41.7,100798
0.203944825,39.4,76866
0.399832262,31.9,50379
0.128017858,32.4,109313
0.340562587,18.4,58638
0.133617928,36.4,96769
0.241319213,23.9,76887
0.154798762,28.9,100003
0.344319288,21.2,52917
0.151068043,41.4,97730
0.341592486,20.9,52617
0.169296565,36.7,89147
0.109256306,62.6,121160
0.30114431,35.1,58598
0.143879107,58.9,108820
0.19533628,33.1,84920
0.145940821,36.5,97034
0.389690457,14.4,37803
0.18335547,31.9,89845
0.216435285,40.6,73547
0.260485849,21.9,60860
0.3238196,27.2,56956
0.241977809,29,63499
0.191185977,43.4,74336
0.228519319,33.6,59230
0.211993866,28.7,69095
0.233257617,44.9,71811
0.182437128,39.9,79263
0.243633697,37.3,60950
0.285607555,27.1,55429
0.258101541,48.3,70876
0.135393065,56.3,102603
0.164302416,52.8,107717
0.124911598,53.6,103291
0.152982137,37.6,89489
0.325239507,46.1,69669
0.194390931,36.4,74679
0.398767606,16.9,40484
0.353047677,17.4,45570
0.272651712,22.6,62965
0.37347501,18,43363
0.328884375,28.8,56165
0.404572966,12.6,42290
0.373215414,15.8,46065
0.265373413,21.1,64490
0.318444238,19.3,48819
0.279169212,30.3,57974
0.357686616,27.8,50795
0.393610362,14.4,51947
0.369538664,21,48607
0.27895064,19.2,55107
0.271398846,31.1,55760
0.353819177,20.7,48044
0.349634837,21.2,46486
0.491067688,12.6,39565
0.235903614,32.1,70390
0.341850829,19.4,47977
0.318211872,21,47434
0.327966102,25.7,51645
0.251223142,27.8,64348
0.282601307,33.4,55829
0.363853189,21.2,48588
0.41893084,13.5,44619
0.386402308,19.4,38839
0.255722939,36,63575
0.374494493,15.4,47848
0.36622464,17.3,49622
0.445662419,32.6,43183
0.335617341,16,48289
0.351854876,38.9,52872
0.29781667,16.4,57043
0.401476015,15.9,43678
0.371641791,18.5,41599
0.464973227,29.1,45116
0.313610172,22.2,53658
0.313805861,38.8,56511
0.398951623,11.9,46898
0.255071073,35.7,63053
0.356679035,32,50292
0.485,11.9,37320
0.26892988,18.3,62641
0.219823114,44.7,65249
0.298646324,21,55450
0.156372072,35.4,84221
0.288786174,18.4,45469
0.360035384,23.3,47938
0.259071119,24.9,62855
0.319626168,20.3,50055
0.320941546,32.9,53970
0.34868726,23.1,51725
0.465669661,22.7,45018
0.34395589,16.3,46828
0.260300155,35.2,62625
0.413201367,14,47194
0.249953291,20.5,62203
0.37313844,13.3,49448
0.43671595,13.7,41772
0.377776474,19.7,50854
0.392370263,16.6,50326
0.184850572,47.2,79698
0.430932257,19.5,50104
0.426369319,12.2,40373
0.388789891,16.5,41546
0.42309805,14.2,44032
0.412720579,10.6,42335
0.324739807,23.6,54332
0.240162959,34.1,69314
0.310106431,17.9,47948
0.404310022,15.5,42054
0.368394818,20.8,48000
0.378897077,14.2,47672
0.38454569,15.6,45500
0.296541266,17,56032
0.296589992,18.6,56951
0.34716227,16.2,52086
0.376587898,13.5,49988
0.349631067,21.7,54485
0.268757634,55.9,72586
0.389369538,23.9,47301
0.390685355,18.2,47193
0.351791531,18.1,49351
0.175956758,30.5,82175
0.298694878,25,60284
0.389996347,29.2,49160
0.2826333,23.6,57715
0.275157233,15.4,53900
0.360058674,34.8,57429
0.240052648,22.2,61120
0.268721857,22.1,63098
0.103781871,48.9,101496
0.341751604,23.2,52204
0.311094921,19,55269
0.171103178,21.5,83464
0.259996481,34.2,65269
0.371715611,17.1,50386
0.282244754,40.4,57432
0.289499372,20,52087
0.270572082,24.7,56549
0.155119751,42.2,86036
0.206600362,25.7,74575
0.241701772,26,63819
0.288039568,18.6,53156
0.2741601,22.2,61207
0.316697793,17.1,53631
0.210075662,26,66800
0.310763569,18.8,55466
0.194138371,50.1,78167
0.210122799,24.8,60382
0.274717277,27.4,56709
0.210575507,18.5,74616
0.324155644,23.1,55139
0.265871624,22.6,58727
0.30640726,14.7,57163
0.302879099,23.3,60294
0.284732596,25.9,59643
0.297432686,15.5,50870
0.258970951,18.8,53071
0.249360756,28.8,61452
0.256457565,16.7,49967
0.210115377,23,71080
0.286153171,19.3,53077
0.324663142,26.1,57730
0.461093099,13.2,44688
0.252573701,19.1,60118
0.268998057,20.5,52798
0.25493176,17.6,62121
0.24534413,19.5,63452
0.324259514,14.7,56135
0.291337796,17.3,57815
0.317150664,22.2,54295
0.23996972,20.7,60231
0.197887619,33.8,67399
0.34624712,15.3,55304
0.292949757,19.1,55085
0.186698725,44.9,76951
0.270788106,24.9,58682
0.252379458,19.3,60122
0.338066524,14.9,53422
0.303025852,21.3,52917
0.269108911,25.3,59343
0.238804178,22.9,61275
0.275820018,42.3,64660
0.264367816,16.2,58576
0.315757894,19.1,55404
0.273387829,15.2,59028
0.258391852,28.3,68584
0.21401492,23.8,63005
0.268932108,20.3,62202
0.142586822,39.9,102152
0.173846363,26.6,89250
0.221429233,16.4,63439
0.29361425,29.3,55646
0.276067685,27.5,62789
0.248171227,26,64903
0.28418266,30.5,60559
0.275096239,19.6,51620
0.328878792,15.1,53585
0.259159483,17.5,51957
0.19269641,23.7,65226
0.364351245,13.8,46605
0.285091701,21.4,56762
0.134421603,44.3,96671
0.287516311,15.5,54065
0.23718084,23.8,60595
0.277190332,30.1,59329
0.146962685,29.6,84974
0.281753239,17.2,59210
0.534995809,17.4,29936
0.433075568,17.1,42086
0.489992587,12.6,33981
0.54200056,13.9,33767
0.424731817,11.5,36258
0.585800309,23.6,29854
0.457764662,11.8,37263
0.364820232,12.2,46052
0.518196857,12.4,36548
0.435304637,19.1,36777
0.642260153,24,29338
0.416806289,12.5,43207
0.485222512,20.4,31833
0.595113614,16.5,29121
0.461138942,14.5,42151
0.458527132,14.7,38178
0.255051682,25,67038
0.454992696,27.8,39840
0.462093863,12,40219
0.41181203,13.8,47292
0.347246632,9.7,49677
0.436656021,21.3,40122
0.359572521,22,48119
0.408726733,23.1,47894
0.436990027,29,44625
0.721870979,10.2,21504
0.666756176,12.8,28962
0.609530583,3.2,24208
0.444355019,13.2,44567
0.349447887,21.1,51657
0.459675001,15.1,35872
0.674585003,15.9,25019
0.574618096,14.1,32116
0.432159486,20.8,41775
0.615605553,14.7,31103
0.420117429,45.6,50272
0.346723619,34.1,60328
0.463085696,19.7,42534
0.393162393,17.6,41914
0.522739981,14.3,37096
0.368691712,24.4,50559
0.652981959,18.5,26735
0.431475106,16.2,42606
0.427072955,23.4,50441
0.250778273,48.4,71824
0.562126196,12.3,32090
0.420852056,13.8,42233
0.433040882,16.7,42354
0.475231872,19.3,39840
0.473925352,11.6,37987
0.481774242,16.4,35958
0.516483516,15.6,33784
0.500205567,42.6,40453
0.483124513,14.9,38304
0.35633769,16.7,46901
0.454598516,10.7,42469
0.542501588,16.6,31784
0.424490921,18.1,44759
0.499584411,12.4,39256
0.676273866,10.3,25283
0.28855352,29,65996
0.533004417,11.4,34943
0.676430331,19.5,29394
0.497819537,16.2,43850
0.412174691,12.2,43105
0.475507835,15.8,45483
0.622507468,15.4,30838
0.60499964,10.3,29864
0.407379051,15.8,51030
0.434046302,15.2,39246
0.479629839,11.4,37681
0.559266612,16.9,39370
0.430959505,13.4,45754
0.525068493,14.4,30961
0.424534772,22.4,45113
0.602419758,17.9,29705
0.457794886,15.3,37706
0.400864457,18.5,45730
0.577285633,13.7,27313
0.486295466,14.7,34724
0.412600052,13.8,41464
0.592388135,13.4,33279
0.455529881,31,41929
0.277341635,24.9,58772
0.323873484,23.1,50236
0.401312266,14.7,44261
0.464292139,14.6,44403
0.428501867,19.9,44125
0.3767922,16.1,47625
0.429847457,13,40249
0.418279478,8.9,44158
0.330593971,46.1,55328
0.360699196,21.1,51916
0.449793283,13.3,39915
0.37120021,18.1,49839
0.27505929,23.1,56938
0.318600058,21.1,53478
0.328318923,31.5,53732
0.342414082,16.7,50830
0.443894653,15.5,39530
0.246517625,26.3,69433
0.480314323,13.6,39365
0.311972256,17.2,46738
0.299743628,28.6,60645
0.346805025,12.8,48909
0.209032926,33.2,70510
0.275227192,21.6,62701
0.25450437,33.3,60066
0.332648026,22.1,52735
0.432063807,11.5,44438
0.43308522,12.7,40399
0.455308545,12.9,43542
0.333830104,18.5,51679
0.328459844,13.8,55918
0.427126079,15.3,42100
0.530995367,10.8,37425
0.512477681,13.8,36380
0.282472907,20.9,57214
0.291512915,19.2,54885
0.429753695,19.1,47790
0.366908786,30.5,46086
0.384690237,17.1,45594
0.441184074,16.5,42917
0.387437291,15.9,45795
0.447587005,9,34182
0.384527613,19.7,49524
0.366775901,25.2,52700
0.478646922,18,38357
0.496597146,10.8,37435
0.322643018,31.6,55134
0.378920859,23.6,48357
0.259464854,20.4,65454
0.354224774,28.9,55273
0.380836871,17.2,40000
0.410622916,14.6,47257
0.317600823,20.3,58766
0.435907429,16,44742
0.343825422,13.6,45988
0.321750893,16.8,64196
0.35159725,16.9,45930
0.333721347,18.8,46992
0.428801596,16.3,42746
0.456426098,15.6,43636
0.376719577,15.8,47569
0.405518111,22.4,48784
0.487436715,11.5,41643
0.378863937,18.9,47298
0.371250707,19.4,47171
0.470663414,11.5,35357
0.323939953,20.5,58010
0.349478294,12.4,43966
0.386596022,14,46757
0.484819784,13.3,39003
0.519591916,12.1,38679
0.384837198,20,50813
0.481348315,28.6,44232
0.49851835,14.6,33601
0.271659767,18.9,61687
0.525868402,11,31947
0.525146913,12.7,33859
0.333227,17.7,55863
0.416024997,18,46157
0.431186637,29.1,44154
0.394894992,15.6,46385
0.174286319,43.1,80393
0.396198885,19.9,45660
0.357034888,28.3,53492
0.360386221,19.3,42849
0.278412632,14.9,55377
0.368539636,15.1,47740
0.280395496,14.6,61957
0.42758404,13.7,40324
0.527790063,10.2,34971
0.379061562,19.4,44720
0.430828255,12.6,42694
0.443482027,14.2,50085
0.418438988,16.3,44139
0.535424837,14.9,34265
0.402575897,18.1,44083
0.140827445,38.9,84978
0.391219087,13.9,38870
0.389651131,14.3,46466
0.224304657,43.6,67420
0.476400215,36.3,43896
0.306575882,19.7,60129
0.431899103,13.3,41062
0.34739518,18.6,49656
0.374518051,11.7,46481
0.42614762,19.9,46031
0.497736776,13.5,35067
0.424426451,18.9,43276
0.287581243,19.1,60125
0.524653715,9.9,41483
0.49977396,9.6,34316
0.4199432,16.8,50560
0.31568754,20,53580
0.544239543,10.2,34776
0.346392297,35.4,43201
0.568670137,18.1,49859
0.558530648,22.9,41279
0.282153099,27.1,60594
0.229988583,30.4,58707
0.343103448,20.2,48000
0.330728765,25.7,49913
0.463143255,28.3,42298
0.277181127,24.6,52965
0.196622437,24,57440
0.263365626,22.2,58596
0.410608204,20.4,41820
0.235068493,19,64545
0.32544,29.1,50540
0.286595275,31,56182
0.251283987,50.1,66397
0.334494774,14.3,42000
0.522037422,21.4,36045
0.403846154,22.7,43875
0.342968496,28.9,49881
0.396340151,25.4,49321
0.236678832,35,69646
0.36106088,26.6,43661
0.371226831,29.6,48829
0.238374791,40.1,65791
0.348011971,15.2,44875
0.417570636,19.6,40140
0.310084153,31.2,54107
0.30749354,17.2,49701
0.410364886,29.3,46607
0.419326756,16.1,41705
0.287359991,43,54062
0.399297012,16.3,43274
0.291663399,31.5,53068
0.295546559,32.6,51250
0.395585144,17.2,46212
0.412912551,24,51151
0.347996858,24.4,54427
0.195852084,20.4,54667
0.347752332,22.2,43625
0.34035241,27.8,53054
0.222839506,18.9,67205
0.452941176,17.4,43194
0.374107568,17.8,57992
0.465740741,17.9,40823
0.31375986,23.9,55521
0.28748948,27.2,45718
0.190674319,25,64645
0.248888889,25.4,49886
0.331162223,24.9,55000
0.318907222,15.2,50721
0.448467967,25.4,43047
0.312972769,21.5,53162
0.467897271,19.6,39655
0.442477876,23.4,53958
0.290497912,32.1,61264
0.308413782,24.3,53023
0.376137304,18.4,49912
0.343478261,26.2,42813
0.279710145,23.3,51750
0.255230126,23,51094
0.281257616,21.1,54979
0.285021552,17.1,54004
0.338386901,16.7,47778
0.412031048,20.7,43098
0.318980186,34.6,59431
0.31805708,21.3,54203
0.239497087,21.4,58979
0.20400908,27.7,71846
0.228418867,21,61869
0.282146161,21,57009
0.333124739,22.9,56651
0.247325362,25.4,53871
0.323206751,19.9,57173
0.403333333,15.4,58872
0.252176569,23.8,56768
0.338795987,24,52184
0.35326087,13,59231
0.313849317,36.9,50750
0.360498186,15.8,53721
0.291079812,15.9,47287
0.275666667,21.2,56905
0.328569475,19,54085
0.272466405,39.7,64629
0.509134234,23.3,41716
0.288783356,21.4,60313
0.324757486,17.3,49282
0.264595104,21.5,54659
0.302868255,17.4,48838
0.261218512,20.8,53110
0.284502262,22.5,43750
0.296052632,25.5,53000
0.200587084,29.5,64053
0.463963964,26.8,46500
0.308108108,16.3,47869
0.310749071,21.5,57104
0.195605233,25,64210
0.335564854,22.4,49835
0.44467425,18.3,51726
0.398211829,17.6,49962
0.295665837,22.4,60387
0.327445652,26.4,41125
0.258588382,21.1,59348
0.402894862,17.8,44510
0.292595897,17.5,54712
0.233838384,26.7,60266
0.273068757,20.5,50735
0.264563107,25,56500
0.367957746,16.1,53403
0.320529374,21.6,52332
0.268513577,39.5,60527
0.281189784,23.2,59795
0.351230425,19.6,52708
0.295886076,25.3,51000
0.292232672,23,53188
0.3283859,22,48125
0.274424206,17.8,55649
0.344265953,19.5,46194
0.279850746,18.3,49032
0.321949097,27.8,51828
0.360238353,20.9,43388
0.288672589,23.4,59167
0.335877863,17.1,46452
0.235221166,28.1,65543
0.237583043,23.5,59040
0.243422089,23.2,64511
0.239569846,21.8,62305
0.275534442,21.8,67719
0.316286237,19.1,48808
0.351270053,19,47917
0.285160039,23.2,56250
0.379217046,17.8,51502
0.188972997,39.8,82032
0.211108319,25.4,68682
0.354106574,22.9,49745
0.246180623,28.9,70389
0.363163972,22.8,45371
0.281397174,20.2,50781
0.321128909,30.6,48269
0.21953717,17.8,63986
0.285172305,18.8,51821
0.346213292,24.7,59432
0.566323951,16.4,51034
0.339108911,24.2,55324
0.184236868,29.9,71430
0.286768802,32.4,56456
0.320786143,23,46188
0.35207824,19.4,51591
0.246103834,28.4,60298
0.268572321,22.2,55718
0.306899767,18.8,57824
0.309238173,24.5,59340
0.230831643,29.4,66810
0.248023639,16.6,81232
0.45083014,16.1,37375
0.152599595,8.8,67105
0.244592476,16.8,67756
0.222660654,12.4,88030
0.269165247,19.6,58462
0.330590075,14.4,56875
0.371961442,14.9,35806
0.392224561,10.7,47300
0.238171186,11.1,50491
0.2319202,31.4,66292
0.277796167,30.8,64791
0.263478168,13.2,60827
0.197658661,32.6,69447
0.274125505,34.3,63153
0.231119752,33.1,64751
0.328917133,18.2,47117
0.239293464,40.6,63389
0.163406466,38.1,81460
0.187476563,35.6,75737
0.126392978,41.4,93756
0.215005424,35.8,72960
0.242785306,28.1,61312
0.283305705,28.1,62110
0.130680028,49.3,101144
0.160085261,38,87416
0.242921609,32.5,70451
0.254368629,32.8,67074
0.349633039,15.6,54149
0.173913721,35.5,61510
0.162559906,33,87283
0.273513315,42.3,71189
0.096222895,52.7,115379
0.181916142,42.6,81057
0.159045671,43.6,89533
0.152031354,46,99733
0.104850981,54.1,115527
0.209684653,30,70909
0.186744196,28.2,69688
0.266487311,21,66842
0.102090055,54.7,113611
0.138633396,36.1,94520
0.173059081,36,80198
0.195369733,33,81307
0.354091353,34.4,53329
0.441073826,15.7,41910
0.489926929,18,43359
0.556199501,14.2,39413
0.512296692,21.7,36302
0.416061261,19.2,45092
0.521240728,13,31625
0.318254057,16.2,65328
0.434618353,28.8,37843
0.330259366,7.6,24798
0.482014388,21.7,29375
0.455685847,14.6,42526
0.346475356,13.6,60546
0.383933488,25.8,46216
0.106719368,67.4,121324
0.608427643,12.5,29360
0.620301044,11.4,33834
0.599672198,11,28446
0.446603928,17.5,41988
0.548758496,17.1,29035
0,19.3,39952
0.499633576,23.9,42702
0.442807641,14.9,50518
0.525587703,21.4,30946
0.324142273,30.5,63802
0.307573212,41,61200
0.513290902,21.1,29755
0.53628433,22,42083
0.442894569,28.7,38329
0.502930109,14.8,36120
0.423913043,11.7,35884
0.447789576,18.5,48945
0.232089122,41.8,66252
0.393195905,20.9,48412
0.155352087,20.1,40088
0.305294582,28.4,52226
0.379410212,19.1,48703
0.302534555,22.6,58377
0.378500066,22.2,46820
0.286558796,23.3,54940
0.350435181,18.7,52002
0.288689692,22.9,56365
0.282642833,32.7,66787
0.272251479,28,56023
0.329887289,22.6,49544
0.199821902,35,81219
0.281201089,34.4,58121
0.287187728,26.8,56763
0.354062853,19.1,50407
0.330859788,18.2,50482
0.23338986,22.3,60524
0.295658604,22.1,53601
0.245725142,16.8,58675
0.322344696,21.5,54646
0.341723684,22.2,52685
0.227698784,37.5,60231
0.341388195,18.4,54524
0.283203026,26.5,59510
0.270193564,26.2,61633
0.260474007,38.6,60075
0.426832648,17.8,49462
0.119410057,46,116100
0.976842105,61.3,86553
0.269309956,24.6,55522
0.306365292,25.7,56027
0.25980084,35.9,61359
0.251779062,36.3,64944
0.19473085,30.3,79944
0.367854247,16.2,52620
0.323210212,19,55967
0.325297327,31.1,54028
0.129130854,39.6,104486
0.212714153,32.2,68666
0.228967197,32,68991
0.242805999,33.9,82783
0.207619,41.1,93024
0.170044358,41.4,84291
0.228993866,32.1,65499
0.264505235,22.4,57714
0.36021849,23.5,52327
0.321185776,21.1,54545
0.386361907,23.8,50940
0.351406451,23.6,53663
0.158692716,36.3,101031
0.324998489,24.8,57426
0.265357836,26,62999
0.295473718,53.5,60240
0.282713246,32.5,64304
0.251650238,31.3,61024
0.315093935,20.5,57258
0.277436938,22.6,59449
0.115948324,48.9,96610
0.266063974,17.7,58052
0.304725802,25.2,56563
0.389998171,24.8,49688
0.38089907,14.2,48756
0.484913793,17.3,37830
0.444744674,11.3,40213
0.381233122,19.7,40962
0.431677375,20.7,40340
0.425186251,20.6,45212
0.505208581,13.6,35527
0.51864628,15.8,36173
0.327208914,29.9,58236
0.334718403,40.1,52207
0.411617505,16.4,44557
0.27614278,32.3,67328
0.410307521,15.7,44511
0.285370741,17.1,64572
0.302191228,29.1,57194
0.380919037,15.9,45733
0.353801577,22.6,52056
0.302750687,42.4,67031
0.41057213,19,41438
0.428832888,21.7,46519
0.431842232,23.7,42222
0.444217119,17.6,42247
0.462244898,13.8,37628
0.319986032,25.3,52687
0.422169523,25.5,46875
0.283684795,23.5,69964
0.278064041,34.7,59381
0.368520206,18.5,49546
0.301209307,24,60434
0.523615193,12.1,41764
0.315082181,48.2,60958
0.493847899,13.6,36866
0.360798816,34,51569
0.35819604,22,55193
0.38418703,21.2,52835
0.302323658,14.3,50750
0.482725643,12.9,39571
0.312287053,22.5,55856
0.458915568,11,39837
0.342428489,36,53261
0.527021661,14.4,35502
0.395430097,21.9,53554
0.32513788,26,51659
0.305402219,31.8,55945
0.488873595,14.9,41028
0.44103418,17.7,48072
0.468550107,9.2,39663
0.299660008,28.4,60955
0.419665725,30.4,47252
0.342422675,22.9,59865
0.516565768,12.2,38158
0.392486261,21.5,49994
0.476083086,14.9,39402
0.346913056,23,57536
0.374084365,23.8,45507
0.389643813,28.5,45873
0.434387544,16.4,40090
0.418098597,17.4,43646
0.282041622,45.4,66641
0.349942455,20.5,46103
0.457323213,15.7,44146
0.290979619,37.4,59963
0.353658088,20.8,49537
0.342819489,40.6,54891
0.473393696,13.8,37146
0.378682881,22.9,50278
0.287183166,59.7,71723
0.408918105,18.5,46728
0.374526905,22.1,50558
0.325368371,27.9,57240
0.379552034,20.2,47162
0.36514815,15.6,51020
0.415023041,32.7,47437
0.325682446,29.1,48787
0.391836859,15.7,47288
0.475808961,15.7,36148
0.544862768,13.7,34976
0.401209043,15.1,43579
0.37677486,18.5,49842
0.416,17.8,42608
0.469874744,13.7,42151
0.497904037,15.5,37238
0.347187102,17.3,52623
0.331081976,14.1,48054
0.410431615,18,43597
0.483473604,18.2,39317
0.372789749,32.6,50212
0.399156341,10.6,35300
0.234052856,35.4,80033
0.487926229,14.8,40529
0.232622061,52.8,80591
0.449978429,15.8,36466
0.479854989,11.5,35979
0.409200551,42.2,47526
0.447796262,19,44416
0.430040003,15.8,44107
0.415558878,19.6,43877
0.406351907,11.6,44682
0.4405895,20.3,42222
0.238905325,25.6,56681
0.215851832,29.4,58365
0.560836216,16.2,47667
0.181353768,26.3,75208
0.228145471,24,60381
0.130037614,24.2,62442
0.232339956,22.8,77232
0.182772332,35.8,71524
0.252492898,40.2,64482
0.20641345,19.5,64798
0.197920052,28.8,65492
0.24017094,18.5,62865
0.254304161,21.3,76719
0.278083268,26.2,54868
0.287280702,18.2,55902
0.265099124,26.7,61425
0.332738095,26.9,58690
0.364033976,35.6,54051
0.288040427,18.1,50938
0.208005249,25.8,53565
0.291885345,13,60164
0.379876797,17.7,54643
0.261331841,24.6,60806
0.273366834,19.6,59375
0.23859105,21.4,64179
0.257925072,15.6,52587
0.359188034,25.8,77845
0.220733611,20.8,68529
0.156531859,21.7,82181
0.194234383,26.9,70556
0.223647637,20.4,72147
0.264555342,25,52039
0.235102925,21.1,78929
0.219162197,20.6,64549
0.333730632,21,55660
0.213998853,26.4,58910
0.222909451,19.1,63903
0.225146199,20.1,73182
0.234359407,21.3,61371
0.531580688,19.6,43158
0.161527842,18.5,63073
0.318697956,14.6,51055
0.618176856,15,38939
0.215955983,25.9,63611
0.202795386,22.4,72045
0.14835443,30.9,70724
0.257595129,23.7,57674
0.300907912,17,52300
0.197683398,28.9,64453
0.308497226,17.2,55700
0.247425734,29.3,68871
0.245640637,22.2,57582
0.186387435,23.6,87161
0.482305201,13.2,39079
0.30288524,18.9,53131
0.307267902,20.9,52823
0.410899042,14.3,46700
0.507520247,30.2,40905
0.235539076,18.9,64074
0.31042627,16.7,50904
0.343740435,14.9,54575
0.26632622,30.2,66117
0.332689462,13.3,55267
0.282386183,16.1,60112
0.365459507,18.7,50873
0.236907857,28.6,66968
0.339000666,18.9,52815
0.344893039,14.9,48345
0.408024313,13.2,46606
0.386180725,14.4,44971
0.316794119,32.5,50366
0.324069545,15.8,55620
0.256525441,18,59931
0.117259552,54.3,106908
0.287431525,23.2,54226
0.243906376,27.6,67609
0.358523412,16.3,47308
0.310179815,40,61305
0.271006813,17.6,63092
0.394012436,15.9,44858
0.192015166,38,82303
0.254279009,39.2,68720
0.389225626,14.6,45917
0.299002148,37.9,57212
0.289977098,27.1,58450
0.345777163,16.2,50506
0.33374313,11.6,49689
0.228461245,17.2,59695
0.388464896,13.4,44169
0.34768294,14.4,52363
0.309011356,9.7,63753
0.316845172,14.4,52560
0.443036997,14.5,47550
0.376139475,15.8,46581
0.295607048,23,57749
0.210539445,27.4,64466
0.392929416,14.9,45118
0.255844373,26.1,64589
0.296348074,16.5,56754
0.270875586,24.9,58427
0.36240484,26.3,48736
0.221911779,17.5,68022
0.381389398,24.2,46042
0.359539017,12.5,47498
0.161490038,33.9,76600
0.429490755,13.1,44899
0.226281931,18.3,62952
0.25576902,23.3,61041
0.372325356,12.5,45289
0.359693756,27.9,51542
0.456174552,10.2,42341
0.276684376,13.8,59452
0.364523703,16.1,47254
0.346131172,9.9,46897
0.25630553,23.1,59099
0.283962674,15.6,55330
0.391318287,12.2,50150
0.235113817,18.4,63633
0.423607806,12.6,42832
0.272070776,29,57618
0.275205326,16.3,58957
0.214804461,20.9,64822
0.354165464,18.3,49547
0.373953889,15.8,51092
0.298602206,16.1,54089
0.422350582,15.7,41330
0.321867838,16.8,52500
0.260865581,18.7,63806
0.308285327,22.8,53860
0.292666269,32.5,57181
0.355103816,18.7,47280
0.316002846,17.4,53243
0.184455217,35.5,86715
0.312780228,16.6,54254
0.433092817,12.8,45673
0.139372162,43,87125
0.319056241,18.8,50021
0.30541618,22.2,58300
0.319131479,15.2,53183
0.289543378,33.5,62390
0.281587988,17.2,55767
0.551252732,11.6,34695
0.250756593,21.8,61852
0.442450802,15,39316
0.359721618,19.9,52349
0.342386088,16.8,50721
0.351231663,16.5,45792
0.416391926,21.9,44212
0.426746589,15.4,46592
0.229495066,27.4,72056
0.374060832,20.5,51419
0.462201071,26.3,42774
0.493599264,13.4,34489
0.383551674,22.8,46328
0.284378498,33.4,64016
0.410727969,17.3,40938
0.370725436,22.2,52161
0.400694177,13.7,50885
0.466148808,14.7,43329
0.356568102,17,51318
0.451057402,24.8,49900
0.471471471,18.1,41696
0.407018381,24,52428
0.405957656,20.1,53245
0.336247935,22.9,54006
0.400658666,14.7,47125
0.307542109,19.9,60875
0.284690899,24.6,57727
0.466889369,12.3,41488
0.382178218,20.7,48344
0.344650206,19.3,46154
0.452087548,16.2,42348
0.486376863,12.9,39365
0.387924333,23.3,49703
0.529864763,14.7,39895
0.445186887,20.1,41332
0.403958426,18.9,46809
0.28920078,22.4,57777
0.459988056,17.2,38019
0.421137231,17.2,44214
0.482710621,14.6,40677
0.376014109,15.5,50671
0.304431897,27.7,65357
0.365278869,13.5,49399
0.298188875,20,54332
